url,normalizedUrl,classification,canonical,redirectTarget,status,indexable,sitemap,historicalIndexed,historicalCanonical,sourceCount,firstSeen,lastSeen,lastVerified,notes
https://bestaiagent.in/best-ai-agent,https://bestaiagent.in/best-ai-agent,CURRENT_CANONICAL,https://bestaiagent.in/best-ai-agent,,200,true,true,true,true,5,,,2026-08-15T07:37:09.642Z,Current pillar page. Historical GSC traffic preserved. Protected source.
https://bestaiagent.in/best-ai-agents-for-automation,https://bestaiagent.in/best-ai-agents-for-automation,CURRENT_CANONICAL,https://bestaiagent.in/best-ai-agents-for-automation,,200,true,true,true,true,3,,,2026-08-15T07:37:09.642Z,Current pillar page. Historical GSC traffic preserved. Protected source.
https://bestaiagent.in/best-ai-agent-for-coding,https://bestaiagent.in/best-ai-agent-for-coding,CURRENT_CANONICAL,https://bestaiagent.in/best-ai-agent-for-coding,,200,true,true,true,true,4,,,2026-08-15T07:37:09.642Z,Current pillar page. Historical GSC traffic preserved. Protected source.
https://bestaiagent.in/best-ai-agents,https://bestaiagent.in/best-ai-agents,REDIRECT_CANDIDATE,https://bestaiagent.in/best-ai-agent,/best-ai-agent,301,false,false,true,false,3,,,2026-08-15T07:37:09.642Z,Historical plural page. Redirected to /best-ai-agent (current singular pillar).
https://bestaiagent.in/best-ai-agent-india,https://bestaiagent.in/best-ai-agent-india,REDIRECT_CANDIDATE,https://bestaiagent.in/built-in-india,/built-in-india,301,false,false,true,false,3,,,2026-08-15T07:37:09.642Z,Historical India-specific agent page. Redirects to /built-in-india (current India Fit page).
https://bestaiagent.in/cursor-pricing,https://bestaiagent.in/cursor-pricing,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,"Historical pricing page with recovery content. No current equivalent route. Marked GONE (410) per historical URL decision engine — recovery content was for the legacy Express runtime, not the clean Next.js pillar system."
https://bestaiagent.in/best-mcp-servers,https://bestaiagent.in/best-mcp-servers,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical MCP servers hub. No current equivalent route in the clean Next.js runtime.
https://bestaiagent.in/claude-code-pricing,https://bestaiagent.in/claude-code-pricing,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical pricing page. No current equivalent route.
https://bestaiagent.in/github-copilot-pricing,https://bestaiagent.in/github-copilot-pricing,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical pricing page. No current equivalent route.
https://bestaiagent.in/best-free-ai-coding-agents,https://bestaiagent.in/best-free-ai-coding-agents,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical free agents page. No current equivalent route.
https://bestaiagent.in/ai-agents-for-finance,https://bestaiagent.in/ai-agents-for-finance,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical finance pillar. No current equivalent route.
https://bestaiagent.in/tools/cursor-ai,https://bestaiagent.in/tools/cursor-ai,GONE,,,410,false,false,true,false,3,,,2026-08-15T07:37:09.642Z,"Historical /tools/cursor-ai. Redirect target /agents/cursor is not a live current route. Quarantined redirect, not served."
https://bestaiagent.in/tools/yellow-ai,https://bestaiagent.in/tools/yellow-ai,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical tool review. Redirect target /agents/yellow-ai is not live.
https://bestaiagent.in/tools/flowise,https://bestaiagent.in/tools/flowise,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical tool review. Redirect target /agents/flowise-ai is not live.
https://bestaiagent.in/cursor-vs-codex,https://bestaiagent.in/cursor-vs-codex,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical comparison page. Current /compare uses query parameters. No direct path equivalent.
https://bestaiagent.in/glossary-hub,https://bestaiagent.in/glossary-hub,GONE,,,410,false,false,true,false,3,,,2026-08-15T07:37:09.642Z,Historical glossary hub. Redirect target /sitemap is not a live current route.
https://bestaiagent.in/claude-code-alternatives,https://bestaiagent.in/claude-code-alternatives,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical alternatives page. No current equivalent route.
https://bestaiagent.in/how-to-use-cursor-ai,https://bestaiagent.in/how-to-use-cursor-ai,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical tutorial page. No current equivalent route.
https://bestaiagent.in/flowise-alternatives,https://bestaiagent.in/flowise-alternatives,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical alternatives page. No current equivalent route.
https://bestaiagent.in/mcp-directory,https://bestaiagent.in/mcp-directory,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical MCP directory hub. No current equivalent route in the clean Next.js runtime.
https://bestaiagent.in/best-ai-voice-agent,https://bestaiagent.in/best-ai-voice-agent,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical voice agent pillar. No current equivalent route in the clean Next.js runtime.
https://bestaiagent.in/ai-agent-rankings,https://bestaiagent.in/ai-agent-rankings,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical rankings page. The site deliberately does not publish rankings. GONE per policy.
https://bestaiagent.in/blog/mcp-agent-interoperability/mcp-authentication-oauth/the-emerging-stack-for-short-lived-agent-credentials-what-builders-need-now,https://bestaiagent.in/blog/mcp-agent-interoperability/mcp-authentication-oauth/the-emerging-stack-for-short-lived-agent-credentials-what-builders-need-now,GONE,,,410,false,false,true,false,2,,,2026-08-15T07:37:09.642Z,Historical blog post. No current equivalent route.
https://bestaiagent.in/,https://bestaiagent.in/,CURRENT_CANONICAL,https://bestaiagent.in/,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/models,https://bestaiagent.in/models,CURRENT_CANONICAL,https://bestaiagent.in/models,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/agents,https://bestaiagent.in/agents,CURRENT_CANONICAL,https://bestaiagent.in/agents,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/providers,https://bestaiagent.in/providers,CURRENT_CANONICAL,https://bestaiagent.in/providers,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/categories,https://bestaiagent.in/categories,CURRENT_CANONICAL,https://bestaiagent.in/categories,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/compare,https://bestaiagent.in/compare,CURRENT_CANONICAL,https://bestaiagent.in/compare,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/best-ai-agent-for-business,https://bestaiagent.in/best-ai-agent-for-business,CURRENT_CANONICAL,https://bestaiagent.in/best-ai-agent-for-business,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/best-ai-agent-alternatives,https://bestaiagent.in/best-ai-agent-alternatives,CURRENT_CANONICAL,https://bestaiagent.in/best-ai-agent-alternatives,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/built-in-india,https://bestaiagent.in/built-in-india,CURRENT_CANONICAL,https://bestaiagent.in/built-in-india,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/marketplace,https://bestaiagent.in/marketplace,CURRENT_CANONICAL,https://bestaiagent.in/marketplace,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/resources,https://bestaiagent.in/resources,CURRENT_CANONICAL,https://bestaiagent.in/resources,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/about,https://bestaiagent.in/about,CURRENT_CANONICAL,https://bestaiagent.in/about,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/methodology,https://bestaiagent.in/methodology,CURRENT_CANONICAL,https://bestaiagent.in/methodology,,200,true,true,false,true,2,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/models/:slug,https://bestaiagent.in/models/:slug,CURRENT_CANONICAL,https://bestaiagent.in/models/:slug,,200,true,false,false,true,1,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/agents/:slug,https://bestaiagent.in/agents/:slug,CURRENT_CANONICAL,https://bestaiagent.in/agents/:slug,,200,true,false,false,true,1,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/providers/:slug,https://bestaiagent.in/providers/:slug,CURRENT_CANONICAL,https://bestaiagent.in/providers/:slug,,200,true,false,false,true,1,,,2026-08-15T07:37:09.877Z,
https://bestaiagent.in/admin,https://bestaiagent.in/admin,NOT_INDEXABLE,,,404,false,false,false,true,1,,,2026-08-15T07:37:09.877Z,
